duplicate_group_id,doc_id,statement_type,statement_group_key,period_key,canonical_key,kept_fact_id,dropped_fact_id,kept_provider,dropped_provider,kept_source_cell_ref,dropped_source_cell_ref,dedupe_reason,decision,meta_json
DUP00012,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_008,F000012,F000154,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:7-7:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:7-7:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":325970854.66,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":325970854.66}"
DUP00013,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_017,F000013,F000155,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:8-8:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:8-8:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":703584915.55,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":703584915.55}"
DUP00014,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_017,F000014,F000156,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:8-8:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:8-8:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":1150290194.51,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":1150290194.51}"
DUP00015,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_010,F000015,F000157,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:9-9:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:9-9:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00016,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_010,F000016,F000158,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:9-9:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:9-9:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00017,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_019,F000017,F000159,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:10-10:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:10-10:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00018,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_019,F000018,F000160,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:10-10:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:10-10:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00019,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_023,F000019,F000161,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:11-11:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:11-11:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":109991116.36,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":109991116.36}"
DUP00020,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_023,F000020,F000162,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:11-11:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:11-11:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":120637098.01,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":120637098.01}"
DUP00021,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_027,F000021,F000163,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:12-12:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:12-12:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00022,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_027,F000022,F000164,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:12-12:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:12-12:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00023,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,一年内到期长期债权投资,F000023,F000165,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:13-13:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:13-13:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00024,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,一年内到期长期债权投资,F000024,F000166,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:13-13:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:13-13:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00025,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_030,F000025,F000081,aliyun_table,aliyun_table,债务人审计报告-2022年:4:aliyun_table:0:14-14:2-2,债务人审计报告-2022年:4:aliyun_table:0:6-6:6-6,duplicate_candidates_with_value_mismatch,review_kept_both,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":105287.63,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":1814434.76}"
DUP00025,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_030,F000025,F000167,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:14-14:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:14-14:2-2,duplicate_candidates_with_value_mismatch,review_kept_both,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":1814434.76,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":1814434.76}"
DUP00025,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_030,F000025,F000223,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:14-14:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:6-6:6-6,duplicate_candidates_with_value_mismatch,review_kept_both,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":105287.63,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":1814434.76}"
DUP00026,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_030,F000026,F000168,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:14-14:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:14-14:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00027,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_031,F000027,F000169,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:15-15:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:15-15:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":1432188751.16,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":1432188751.16}"
DUP00028,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_031,F000028,F000170,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:15-15:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:15-15:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":2029298849.12,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":2029298849.12}"
DUP00029,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,长期投资,F000029,F000171,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:16-16:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:16-16:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00030,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,长期投资,F000030,F000172,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:16-16:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:16-16:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00031,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_039,F000031,F000173,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:17-17:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:17-17:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00032,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_039,F000032,F000174,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:17-17:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:17-17:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00033,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,长期债权投资,F000033,F000175,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:18-18:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:18-18:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00034,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,长期债权投资,F000034,F000176,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:18-18:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:18-18:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00035,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,长期投资合计,F000035,F000177,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:19-19:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:19-19:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00036,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,长期投资合计,F000036,F000178,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:19-19:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:19-19:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00037,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,固定资产,F000037,F000179,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:20-20:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:20-20:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00038,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,固定资产,F000038,F000180,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:20-20:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:20-20:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00039,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,固定资产原价,F000039,F000181,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:21-21:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:21-21:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":444771829.32,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":444771829.32}"
DUP00040,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,固定资产原价,F000040,F000182,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:21-21:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:21-21:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":444771829.32,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":444771829.32}"
DUP00041,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,减:累计折旧,F000041,F000183,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:22-22:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:22-22:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":30079786.08,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":30079786.08}"
DUP00042,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,减:累计折旧,F000042,F000184,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:22-22:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:22-22:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":51654793.08,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":51654793.08}"
DUP00043,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,固定资产净值,F000043,F000185,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:23-23:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:23-23:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":414692043.24,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":414692043.24}"
DUP00044,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,固定资产净值,F000044,F000186,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:23-23:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:23-23:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":393117036.24,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":393117036.24}"
DUP00045,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,减:固定资产减值准备,F000045,F000187,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:24-24:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:24-24:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00046,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,减:固定资产减值准备,F000046,F000188,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:24-24:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:24-24:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00047,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_045,F000047,F000189,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:25-25:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:25-25:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":414692043.24,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":414692043.24}"
DUP00048,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_045,F000048,F000190,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:25-25:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:25-25:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":393117036.24,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":393117036.24}"
DUP00049,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_052,F000049,F000191,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:26-26:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:26-26:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00050,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_052,F000050,F000192,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:26-26:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:26-26:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00051,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_051,F000051,F000193,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:27-27:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:27-27:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00052,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_051,F000052,F000194,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:27-27:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:27-27:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00053,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,ZT_049,F000053,F000195,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:28-28:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:28-28:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":null}"
DUP00054,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期末数,ZT_049,F000054,F000196,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:28-28:3-3,债务人审计报告-2022年:4:tencent_table_v3:5:28-28:3-3,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期末数"",""dropped_value"":null,""exact_period"":true,""kept_period_key"":""2022-12-31__期末数"",""kept_value"":null}"
DUP00055,债务人审计报告-2022年,balance_sheet,balance_sheet|资产负债表,2022-12-31__期初数,固定资产合计,F000055,F000197,aliyun_table,tencent_table_v3,债务人审计报告-2022年:4:aliyun_table:0:29-29:2-2,债务人审计报告-2022年:4:tencent_table_v3:5:29-29:2-2,strict_duplicate_same_period,dropped,"{""dropped_period_key"":""2022-12-31__期初数"",""dropped_value"":414692043.24,""exact_period"":true,""kept_period_key"":""2022-12-31__期初数"",""kept_value"":414692043.24}"
